VALUATION DATE,FUND_NAME_1_EN,CLASS_FUND_1_EN,FUND_NAME_1_ZH,CLASS_FUND_1_ZH,FUND_1_PRICE_HKD
21/12/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.03
24/12/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.03
27/12/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0302
28/12/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0303
31/12/2001,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0309
02/01/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0309
03/01/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0309
04/01/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.031
07/01/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0313
08/01/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0313
09/01/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0313
10/01/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0313
11/01/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.031
14/01/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0311
15/01/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0311
16/01/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0311
17/01/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0311
18/01/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0312
21/01/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0312
22/01/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0312
23/01/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0313
24/01/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0313
25/01/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0314
28/01/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0314
30/01/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0315
31/01/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0316
01/02/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0315
04/02/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0316
05/02/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0316
06/02/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0316
07/02/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0316
08/02/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0316
11/02/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0316
15/02/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0316
18/02/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0317
19/02/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0317
20/02/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0317
21/02/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0317
22/02/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0317
25/02/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0317
26/02/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0317
27/02/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0317
28/02/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0317
01/03/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0318
04/03/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0318
05/03/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0318
06/03/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0318
07/03/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0318
08/03/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0318
11/03/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0317
12/03/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0318
13/03/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0317
14/03/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0317
15/03/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0317
18/03/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0318
19/03/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0318
20/03/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0318
21/03/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0318
22/03/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0318
25/03/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0319
26/03/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0318
27/03/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0318
28/03/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0319
02/04/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0319
03/04/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0319
04/04/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0319
08/04/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0323
09/04/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0322
10/04/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0322
11/04/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0321
12/04/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0321
15/04/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0323
16/04/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0323
