VALUATION DATE,FUND_NAME_1_EN,CLASS_FUND_1_EN,FUND_NAME_1_ZH,CLASS_FUND_1_ZH,FUND_1_PRICE_HKD
03/03/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,1
04/03/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,1
05/03/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,1
06/03/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,1
07/03/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,0.9999
10/03/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,0.9994
11/03/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,1.0002
12/03/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,1.0095
13/03/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,0.9822
14/03/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,0.9754
17/03/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,0.9372
18/03/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,0.9378
19/03/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,0.9548
20/03/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,0.9322
25/03/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,0.9703
26/03/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,0.9758
27/03/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,0.9788
28/03/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,0.9996
31/03/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,0.9889
01/04/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,0.9944
02/04/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,1.0159
03/04/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,1.0281
07/04/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,1.0358
08/04/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,1.0278
09/04/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,1.0129
10/04/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,1.0182
11/04/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,1.0323
14/04/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,0.9999
15/04/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,1.0044
16/04/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,1.0008
17/04/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,1.0148
18/04/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,1.0121
21/04/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,1.0299
22/04/2008,Sun Life MPF Greater China Equity Fund,Class A,永明強積金大中華股票基金,A類單位,1.042
