VALUATION DATE,FUND_NAME_1_EN,CLASS_FUND_1_EN,FUND_NAME_1_ZH,CLASS_FUND_1_ZH,FUND_1_PRICE_HKD
17/09/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.6889
18/09/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.6831
19/09/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.6915
20/09/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.6821
21/09/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.6561
24/09/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.6768
25/09/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.6816
26/09/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.6838
27/09/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7007
28/09/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7196
03/10/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7232
04/10/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7481
05/10/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7489
08/10/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7292
09/10/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7512
10/10/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.75
11/10/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7614
12/10/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7466
15/10/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7422
16/10/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7403
17/10/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7487
18/10/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7286
19/10/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7282
22/10/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7245
23/10/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7479
24/10/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7515
26/10/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7586
29/10/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7455
30/10/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7437
31/10/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7448
01/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7493
02/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7446
05/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7609
06/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7555
07/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7477
08/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7638
09/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7737
12/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7742
13/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7753
14/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.7978
15/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8149
16/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8168
19/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8158
20/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8109
21/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.81
22/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8132
23/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8195
26/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8263
27/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.821
28/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.802
29/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.804
30/11/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.811
03/12/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8132
04/12/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8307
05/12/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.852
06/12/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8591
07/12/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8696
10/12/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8693
11/12/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8589
12/12/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8675
13/12/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8428
14/12/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8428
17/12/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8426
18/12/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8416
19/12/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8507
20/12/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8592
21/12/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8344
24/12/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8365
27/12/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8475
28/12/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8513
31/12/2001,Sun Life MPF Hong Kong Equity Fund,Class A,永明強積金香港股票基金,A類單位,0.8526
