VALUATION DATE,FUND_NAME_1_EN,CLASS_FUND_1_EN,FUND_NAME_1_ZH,CLASS_FUND_1_ZH,FUND_1_PRICE_HKD
29/11/2023,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1
30/11/2023,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0038
01/12/2023,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.003
04/12/2023,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,0.9958
05/12/2023,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,0.9885
06/12/2023,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,0.9884
07/12/2023,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,0.9906
08/12/2023,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,0.993
11/12/2023,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,0.9922
12/12/2023,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,0.9992
13/12/2023,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0044
14/12/2023,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0095
15/12/2023,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0167
18/12/2023,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0158
19/12/2023,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0169
20/12/2023,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0111
21/12/2023,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0177
22/12/2023,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0127
27/12/2023,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0226
28/12/2023,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0329
29/12/2023,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0299
02/01/2024,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0211
03/01/2024,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0125
04/01/2024,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.011
05/01/2024,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0089
08/01/2024,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0103
09/01/2024,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0094
10/01/2024,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0111
11/01/2024,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0153
12/01/2024,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0143
15/01/2024,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0141
16/01/2024,Sun Life MPF US & Hong Kong Equity Fund,--,永明強積金美國及香港股票基金,--,1.0039
