VALUATION DATE,FUND_NAME_1_EN,CLASS_FUND_1_EN,FUND_NAME_1_ZH,CLASS_FUND_1_ZH,FUND_1_PRICE_HKD
05/06/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1
06/06/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1
07/06/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,0.9999
08/06/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,0.9999
09/06/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,0.9999
12/06/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,0.9998
13/06/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.0008
14/06/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.001
15/06/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.0063
16/06/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.0024
19/06/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.0021
20/06/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,0.9999
21/06/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,0.9957
23/06/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,0.9943
26/06/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,0.9887
27/06/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,0.9987
28/06/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,0.9994
29/06/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.002
30/06/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.0128
03/07/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.0114
04/07/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.0112
05/07/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.01
06/07/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.0035
07/07/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.0015
10/07/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.0039
11/07/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.0087
12/07/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.0173
13/07/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.0271
14/07/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.0267
18/07/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.0394
19/07/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.0399
20/07/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.0277
21/07/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.0273
24/07/2023,Sun Life MPF US Equity Fund,--,永明強積金美國股票基金,--,1.0289
