VALUATION DATE,FUND_NAME_1_EN,CLASS_FUND_1_EN,FUND_NAME_1_ZH,CLASS_FUND_1_ZH,FUND_1_PRICE_HKD
20/12/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9631
21/12/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9586
24/12/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9557
27/12/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9597
28/12/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9663
31/12/2001,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9659
02/01/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.97
03/01/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9766
04/01/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9831
07/01/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9885
08/01/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9804
09/01/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9783
10/01/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.974
11/01/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9737
14/01/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9744
15/01/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.969
16/01/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9608
17/01/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9635
18/01/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9611
21/01/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9637
22/01/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.96
23/01/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9634
24/01/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9632
25/01/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9663
28/01/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.965
30/01/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9565
31/01/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9602
01/02/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9561
04/02/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9543
05/02/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9548
06/02/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9499
07/02/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.946
08/02/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.954
11/02/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9557
15/02/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9644
18/02/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9662
19/02/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9572
20/02/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9576
21/02/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9555
22/02/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9534
25/02/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.958
26/02/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9591
27/02/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9626
28/02/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9643
01/03/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9679
04/03/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.98
05/03/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9832
06/03/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.986
07/03/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9898
08/03/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9913
11/03/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9909
12/03/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.993
13/03/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9887
14/03/2002,Sun Life MPF Balanced Fund,Class A,永明強積金均衡基金,A類單位,0.9913
