VALUATION DATE,FUND_NAME_1_EN,CLASS_FUND_1_EN,FUND_NAME_1_ZH,CLASS_FUND_1_ZH,FUND_1_PRICE_HKD
03/03/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1
04/03/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1
05/03/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1
06/03/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1
07/03/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9999
10/03/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9983
11/03/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9986
12/03/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0091
13/03/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9789
14/03/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9714
17/03/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9336
18/03/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9386
19/03/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9522
20/03/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.939
25/03/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9778
26/03/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9808
27/03/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9842
28/03/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9942
31/03/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9888
01/04/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9932
02/04/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.019
03/04/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0289
07/04/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0359
08/04/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0254
09/04/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0159
10/04/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0258
11/04/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0348
14/04/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0137
15/04/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0145
16/04/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0221
17/04/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.033
18/04/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0293
21/04/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0441
22/04/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0441
23/04/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0496
24/04/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0529
25/04/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0525
28/04/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0603
29/04/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0578
30/04/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0532
02/05/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0638
05/05/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0632
06/05/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0661
07/05/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0545
08/05/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0402
09/05/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0346
13/05/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0496
14/05/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0479
15/05/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0559
16/05/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.064
19/05/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0646
20/05/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0468
21/05/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.05
22/05/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.039
23/05/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0268
26/05/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0107
27/05/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0228
28/05/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.017
29/05/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0267
30/05/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.031
02/06/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0389
03/06/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0249
04/06/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0205
05/06/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0179
06/06/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,1.0212
10/06/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.982
11/06/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9779
12/06/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9586
13/06/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9573
16/06/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9706
17/06/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9751
18/06/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9792
19/06/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9594
20/06/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9553
23/06/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9502
24/06/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9433
25/06/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9486
26/06/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9428
27/06/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9261
30/06/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9268
02/07/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9133
03/07/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.8995
04/07/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.8961
07/07/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9063
08/07/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.885
09/07/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.895
10/07/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.8982
11/07/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9131
14/07/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9058
15/07/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.8745
16/07/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.8747
17/07/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.8926
18/07/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.8851
21/07/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9066
22/07/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9036
23/07/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9239
24/07/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9302
25/07/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9147
28/07/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.9129
29/07/2008,Sun Life MPF Asian Equity Fund,Class A,永明強積金亞洲股票基金,A類單位,0.8983
