VALUATION DATE,FUND_NAME_1_EN,CLASS_FUND_1_EN,FUND_NAME_1_ZH,CLASS_FUND_1_ZH,FUND_1_PRICE_HKD
03/03/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1
04/03/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1
05/03/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1
06/03/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,0.9999
07/03/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,0.9997
10/03/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,0.9973
11/03/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0011
12/03/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0078
13/03/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0011
14/03/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,0.9961
17/03/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,0.9821
18/03/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,0.9857
19/03/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,0.9878
20/03/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,0.9833
25/03/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,0.999
26/03/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.002
27/03/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.004
28/03/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0085
31/03/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0019
01/04/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.016
02/04/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0279
03/04/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0357
07/04/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0435
08/04/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0363
09/04/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0246
10/04/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.029
11/04/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0307
14/04/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0132
15/04/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0185
16/04/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0254
17/04/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.032
18/04/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0355
21/04/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0414
22/04/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0424
23/04/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0526
24/04/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0573
25/04/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0572
28/04/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0586
29/04/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0591
30/04/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0562
02/05/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0738
05/05/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0719
06/05/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0746
07/05/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0636
08/05/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0566
09/05/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.05
13/05/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0613
14/05/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.062
15/05/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0656
16/05/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0721
19/05/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0801
20/05/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0626
21/05/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.064
22/05/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0615
23/05/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0479
26/05/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0358
27/05/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0407
28/05/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0385
29/05/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0448
30/05/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0475
02/06/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0504
03/06/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0424
04/06/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0378
05/06/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0408
06/06/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0368
10/06/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0115
11/06/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,1.0022
12/06/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,0.9935
13/06/2008,Sun Life MPF Multi-Sector Equity Fund,Class A,永明強積金行業股票基金,A類單位,0.9899
