VALUATION DATE,FUND_NAME_1_EN,CLASS_FUND_1_EN,FUND_NAME_1_ZH,CLASS_FUND_1_ZH,FUND_1_PRICE_HKD
03/04/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,1
05/04/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,1
06/04/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,1
07/04/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,0.9998
10/04/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,1
11/04/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,1.0002
12/04/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,0.9999
13/04/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,0.9989
18/04/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,0.9994
19/04/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,0.9981
20/04/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,0.9999
21/04/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,0.9992
24/04/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,1.0047
25/04/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,1.0062
26/04/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,1.0053
27/04/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,1.0053
28/04/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,1.0044
02/05/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,1.0068
04/05/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,1.005
05/05/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,1.0068
08/05/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,1.0077
09/05/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,1.0067
10/05/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,1.0085
11/05/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,1.0067
12/05/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,1.0076
15/05/2017,Sun Life MPF Core Accumulation Fund,--,永明強積金核心累積基金,--,1.0093
