VALUATION DATE,FUND_NAME_1_EN,CLASS_FUND_1_EN,FUND_NAME_1_ZH,CLASS_FUND_1_ZH,FUND_1_PRICE_HKD
05/06/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1
06/06/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1
07/06/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9999
08/06/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9999
09/06/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9998
12/06/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9997
13/06/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.0013
14/06/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.003
15/06/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.0045
16/06/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.0075
19/06/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.0008
20/06/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9977
21/06/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.997
23/06/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9873
26/06/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9875
27/06/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9898
28/06/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9932
29/06/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9937
30/06/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.0031
03/07/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.0002
04/07/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9994
05/07/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9908
06/07/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9708
07/07/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9765
10/07/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9803
11/07/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9855
12/07/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.0062
13/07/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.0175
14/07/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.019
18/07/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.0176
19/07/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.0164
20/07/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.015
21/07/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.0178
24/07/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.0159
25/07/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.0155
26/07/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.0132
27/07/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.0221
28/07/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.024
31/07/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.0242
01/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.0126
02/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1
03/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9958
04/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.0049
07/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.0033
08/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9977
09/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.0033
10/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,1.0133
11/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9984
14/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9976
15/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9903
16/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9893
17/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9806
18/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9756
21/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9714
22/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9808
23/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9841
24/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9782
25/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9758
28/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9855
29/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9967
30/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9993
31/08/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9931
04/09/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9876
05/09/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9795
06/09/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9755
07/09/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9726
11/09/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9798
12/09/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9755
13/09/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9723
14/09/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9811
15/09/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9832
18/09/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9685
19/09/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9684
20/09/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9802
21/09/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9631
22/09/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9625
25/09/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9532
26/09/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9482
27/09/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9432
28/09/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9475
29/09/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.955
03/10/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9304
04/10/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9291
05/10/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9338
06/10/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.941
09/10/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9397
10/10/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9567
11/10/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9598
12/10/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.96
13/10/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9487
16/10/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9516
17/10/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9534
18/10/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9426
19/10/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9338
20/10/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.923
24/10/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9263
25/10/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9244
26/10/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9181
27/10/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9134
30/10/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9172
31/10/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9195
01/11/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9251
02/11/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.942
03/11/2023,Sun Life MPF European Equity Fund,--,永明強積金歐洲股票基金,--,0.9466
