VALUATION DATE,FUND_NAME_1_EN,CLASS_FUND_1_EN,FUND_NAME_1_ZH,CLASS_FUND_1_ZH,FUND_1_PRICE_HKD
03/07/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1
04/07/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1
05/07/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1
06/07/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1
09/07/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1
10/07/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0001
11/07/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0001
12/07/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1
13/07/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,0.9995
16/07/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,0.9994
17/07/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,0.9997
18/07/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,0.9999
19/07/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1
20/07/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,0.9999
23/07/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,0.9984
24/07/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,0.9983
25/07/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,0.9977
26/07/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,0.9983
27/07/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,0.9987
30/07/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,0.9983
31/07/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,0.9989
01/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,0.9991
02/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,0.999
03/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,0.9984
06/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,0.9988
07/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,0.9993
08/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,0.9995
09/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0006
10/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0002
13/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0001
14/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0003
15/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0001
16/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,0.9995
17/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0003
20/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0003
21/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0006
22/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0008
23/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0007
24/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0004
27/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0001
28/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0002
29/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0006
30/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0007
31/08/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0009
03/09/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0017
04/09/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0016
05/09/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0011
06/09/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0017
07/09/2012,Sun Life MPF RMB and HKD Fund,Class A,永明強積金人民幣及港元基金,A類單位,1.0022
