VALUATION DATE,FUND_NAME_1_EN,CLASS_FUND_1_EN,FUND_NAME_1_ZH,CLASS_FUND_1_ZH,FUND_1_PRICE_HKD
10/12/2013,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,1
11/12/2013,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,1
12/12/2013,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9992
13/12/2013,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9988
16/12/2013,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9981
17/12/2013,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9979
18/12/2013,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9977
19/12/2013,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9912
20/12/2013,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9864
23/12/2013,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9887
24/12/2013,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9953
27/12/2013,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9952
30/12/2013,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9944
31/12/2013,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9972
02/01/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9977
03/01/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.982
06/01/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9762
07/01/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.976
08/01/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9832
09/01/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.977
10/01/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9775
13/01/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9785
14/01/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9743
15/01/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9774
16/01/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9787
17/01/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9826
20/01/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9755
21/01/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9792
22/01/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9815
23/01/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9719
24/01/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9621
27/01/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9457
28/01/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9455
29/01/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9507
30/01/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9462
04/02/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9263
05/02/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9226
06/02/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9283
07/02/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9367
10/02/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9357
11/02/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9486
12/02/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9604
13/02/2014,Sun Life FTSE MPF Hong Kong Index Fund,Class A,永明富時強積金香港指數基金,A類單位,0.9528
