VALUATION DATE,FUND_NAME_1_EN,CLASS_FUND_1_EN,FUND_NAME_1_ZH,CLASS_FUND_1_ZH,FUND_1_PRICE_HKD
04/01/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,1
05/01/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,1
06/01/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,1
07/01/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,1
08/01/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,1
11/01/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,1
12/01/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,1
13/01/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9999
14/01/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9999
15/01/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9998
18/01/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9997
19/01/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9996
20/01/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9988
21/01/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9983
22/01/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,1.0006
25/01/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,1.0004
26/01/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,1.0005
27/01/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,1.0007
28/01/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9993
29/01/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9991
01/02/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9965
02/02/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9965
03/02/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9964
04/02/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9947
05/02/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.995
08/02/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9947
09/02/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9947
10/02/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9946
11/02/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.994
12/02/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9918
17/02/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9932
18/02/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9863
19/02/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9818
22/02/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9857
23/02/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9897
24/02/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9885
25/02/2010,Sun Life MPF Global Bond Fund,Class A,永明強積金環球債券基金,A類單位,0.9908
