abbr,start_date,invested,current,roi,annualized_roi
EQU,2014-04-01,119.63304873467506,162.68729797995675,0.35988591531064634,0.02826654206862833
EQU,2014-05-02,118.847057634131,161.34201070218717,0.35755999276714345,0.028327991768485994
EQU,2014-06-03,118.06106653358695,159.98392597253982,0.35509470369748286,0.02838764620240175
EQU,2014-07-02,117.27507543304291,158.6585974076367,0.3528756798644851,0.028443344474209598
EQU,2014-08-01,116.48908433249886,157.36404342127452,0.35089089525422684,0.02852369146283462
EQU,2014-09-01,115.70309323195481,156.06109758034367,0.3488066154591173,0.028605414336710266
EQU,2014-10-03,114.91710213141076,154.78107939372782,0.3468933389629992,0.028708213631109203
EQU,2014-11-03,114.13111103086672,153.4385115400564,0.3444056590192923,0.02876277753593648
EQU,2014-12-01,113.34511993032267,152.1064800577514,0.34197643578529674,0.028799051657421915
EQU,2015-01-02,112.55912882977863,150.77803958126879,0.3395451897045863,0.028866569840998446
EQU,2015-02-02,111.73839692259054,149.39112325954014,0.33697213647189184,0.02891632198396321
EQU,2015-03-02,110.91766501540243,148.0052914075679,0.3343707820302145,0.02894050874708265
EQU,2015-04-01,110.09693310821434,146.66363738988767,0.33213190639681023,0.02900864056181729
EQU,2015-05-04,109.27620120102625,145.33005954387139,0.3299333061232599,0.02910512326857595
EQU,2015-06-01,108.45546929383816,144.07890850330347,0.3284614362135191,0.029219083722570538
EQU,2015-07-02,107.63473738665007,142.8198569115282,0.3268937183214807,0.029352111014921967
EQU,2015-08-03,106.81400547946198,141.51742165259128,0.3248957476817215,0.029461292980386133
EQU,2015-09-01,105.99327357227389,140.1582767466437,0.3223318048675385,0.02950074643070688
EQU,2015-10-02,105.1725416650858,138.6581427659985,0.31838729549339134,0.029444560684332766
EQU,2015-11-02,104.35180975789771,137.16279031299388,0.3144265598384882,0.029385045554672917
EQU,2015-12-01,103.53107785070962,135.74139264624992,0.3111173520475381,0.029360709986907763
EQU,2016-01-04,102.71034594352152,134.31656686543698,0.3077218816816675,0.0293718872435893
EQU,2016-02-01,101.86507415230851,132.77909777210755,0.30348010716191537,0.029256569246558284
EQU,2016-03-01,101.01980236109549,131.1394274195549,0.2981556522036813,0.02905285277152525
EQU,2016-04-01,100.17453056988246,129.49910218118995,0.29273480439072747,0.02885292831270303
EQU,2016-05-03,99.32925877866944,127.92991149800866,0.28793784501169656,0.028711882162852254
EQU,2016-06-01,98.48398698745642,126.3828866122167,0.28328361267820795,0.02855250691758604
EQU,2016-07-04,97.6387151962434,124.83571602809303,0.27854730346652523,0.02841715760917829
EQU,2016-08-01,96.79344340503037,123.27842554916376,0.2736237209095606,0.028214837205687404
EQU,2016-09-01,95.94817161381735,121.78171843708057,0.2692448056982356,0.02808553304427086
EQU,2016-10-03,95.10289982260434,120.3019979126503,0.2649666638667158,0.027970953258970477
EQU,2016-11-01,94.25762803139132,118.83496297228372,0.26074637622651853,0.027830723150061853
EQU,2016-12-01,93.4123562401783,117.33566049329997,0.2561042801619411,0.027654385701814554
EQU,2017-01-03,92.56708444896528,115.84803419046334,0.2515035434040647,0.027504653692573378
EQU,2017-02-01,91.70144160758403,114.34685023202266,0.2469471387521325,0.027317326949175103
EQU,2017-03-01,90.83579876620277,112.87880759482854,0.24266873994647256,0.02714372762227857
EQU,2017-04-03,89.97015592482151,111.45716076178438,0.23882369232434444,0.027056756556133044
EQU,2017-05-02,89.10451308344027,110.0438737471469,0.2349977564447085,0.02693088661208476
EQU,2017-06-01,88.23887024205902,108.65817498903434,0.23140940824560172,0.02683590327423757
EQU,2017-07-03,87.37322740067776,107.29757906325635,0.22803726330502966,0.026780146720035036
EQU,2017-08-01,86.50758455929652,105.94300832072459,0.22466728045222534,0.0266934438987938
EQU,2017-09-01,85.64194171791526,104.62659450051765,0.22167471220040116,0.026665010351543117
EQU,2017-10-03,84.77629887653401,103.30997463651353,0.21861859983969667,0.02663782362982836
EQU,2017-11-01,83.91065603515275,102.02365545138893,0.2158605387216623,0.02661319349026936
EQU,2017-12-01,83.04501319377151,100.76060975902821,0.21332523030516415,0.026622949191578593
EQU,2018-01-02,82.17937035239026,99.51014382902638,0.21088958703772825,0.02666424963308467
EQU,2018-02-01,81.30082943267243,98.27510276033082,0.20878351975136097,0.026724313261166754
EQU,2018-03-01,80.4222885129546,97.09568418087954,0.2073230689678666,0.026841652408040595
EQU,2018-04-03,79.54374759323676,95.8570593876466,0.2050860348927901,0.02692040006613272
EQU,2018-05-02,78.66520667351891,94.59564960819063,0.2025093889448127,0.02691577386367272
EQU,2018-06-01,77.78666575380107,93.34779147951154,0.20004875610637762,0.026935705708681867
EQU,2018-07-03,76.90812483408324,92.11275041081598,0.19769856058165822,0.02699154751811972
EQU,2018-08-01,76.02958391436539,90.83777708534436,0.19476883087585906,0.02694023399682899
EQU,2018-09-03,75.15104299464755,89.59708221724988,0.1922267296227839,0.02698251118901296
EQU,2018-10-02,74.2725020749297,88.35629718892955,0.18962327537843582,0.026971158444784926
EQU,2018-11-01,73.39396115521187,87.1131633866204,0.186925491082236,0.026957704540889305
EQU,2018-12-03,72.51542023549403,85.78750789168903,0.18302435003608689,0.026802304124955656
EQU,2019-01-02,71.63687931577618,84.48590377713529,0.17936326350454854,0.026650556763686772
EQU,2019-02-01,70.73716555989314,83.0338246502804,0.17383590356014014,0.026229809584622954
EQU,2019-03-01,69.8374518040101,81.6799000009899,0.16957159648685524,0.02595211383495233
EQU,2019-04-01,68.93773804812707,80.36605697404673,0.16577739928080137,0.025769221200257597
EQU,2019-05-02,68.03802429224403,79.06965003116517,0.16213912519765336,0.025602463627969696
EQU,2019-06-03,67.138310536361,77.7819309910601,0.15853274188266445,0.025446046075262574
EQU,2019-07-02,66.23859678047796,76.41754765416975,0.1536709919659977,0.02505378664511504
EQU,2019-08-01,65.33888302459494,75.13502331460788,0.14992818726829887,0.02483473513201595
EQU,2019-09-02,64.43916926871191,73.83195029533768,0.14576198193148315,0.024564197981958857
EQU,2019-10-02,63.53945551282888,72.49816411337072,0.14099441879436692,0.024160660745974116
EQU,2019-11-01,62.63974175694585,71.1593740631765,0.13601001644113486,0.023705928533807707
EQU,2019-12-02,61.740028001062825,69.88794696759105,0.13197141676689814,0.023405454067619846
EQU,2020-01-02,60.84031424517979,68.63231456448987,0.12807297950351107,0.023117038605982465
EQU,2020-02-03,59.914688733127335,67.39148604836767,0.12479072283165095,0.02293719265133798
EQU,2020-03-02,58.989063221074865,66.12613246978292,0.12098970315836802,0.022607560832509588
EQU,2020-04-01,58.06343770902241,64.7979035989368,0.11598462226200446,0.022070902993205355
EQU,2020-05-04,57.137812196969946,63.2129228212505,0.1063238228887371,0.02068005125167094
EQU,2020-06-01,56.212186684917484,61.78495553860726,0.09913809055190206,0.019641525493872658
EQU,2020-07-02,55.28656117286502,60.444853346508054,0.09330101319766575,0.018857288554766205
EQU,2020-08-03,54.36093566081256,59.1473753929026,0.08804925216805035,0.018166627048395556
EQU,2020-09-01,53.435310148760095,57.902769621023566,0.08360500687329,0.017578250122911365
EQU,2020-10-05,52.50968463670764,56.72444173560144,0.08026628093567739,0.0172483768315288
EQU,2020-11-02,51.58405912465518,55.507535030146556,0.0760598520564294,0.016654780957715554
EQU,2020-12-01,50.658433612602714,54.261808845897576,0.0711308063895292,0.015890078986814604
EQU,2021-01-04,49.73280810055025,53.1468012949654,0.06864670073551257,0.01568663733053066
EQU,2021-02-01,48.80486852471766,52.05894355239654,0.06667521347856566,0.01552823217554189
EQU,2021-03-01,47.876928948885066,50.9865462368048,0.06495022459021252,0.015420263305950144
EQU,2021-04-01,46.94898937305248,49.95061622035891,0.06393379042636624,0.015506969971599505
EQU,2021-05-03,46.02104979721989,48.93886274735434,0.06340170341595984,0.01572555188445457
EQU,2021-06-01,45.0931102213873,47.95931217126903,0.06356185980097505,0.016091205186961055
EQU,2021-07-02,44.16517064555471,46.99391922355176,0.06404930710443807,0.01657926576714064
EQU,2021-08-02,43.23723106972212,46.036063601270776,0.0647320020802304,0.017140509658233327
EQU,2021-09-01,42.30929149388953,45.08104847437465,0.06551177962612356,0.017740520258682224
EQU,2021-10-04,41.38135191805694,44.14777867224742,0.06685201488024206,0.018564105911937023
EQU,2021-11-01,40.453412342224354,43.163039911938014,0.0669814340207195,0.019017443202132833
EQU,2021-12-01,39.52547276639176,42.23738648811692,0.06861179720109717,0.019950389336971464
EQU,2022-01-03,38.59753319055917,41.28820197989027,0.06971090033259503,0.02082836891776263
EQU,2022-02-04,37.65502496338601,40.36077312083956,0.07185623061157155,0.02205149953272012
EQU,2022-03-01,36.71251673621285,39.37590041826896,0.07254701989496079,0.02275343888856418
EQU,2022-04-01,35.770008509039684,38.35033368655683,0.07213655475829854,0.023269239385104834
EQU,2022-05-03,34.82750028186652,37.36636036279714,0.07289814257075795,0.02421810497131771
EQU,2022-06-01,33.884992054693356,36.30032722567844,0.0712803818010793,0.024358075194067963
EQU,2022-07-04,32.942483827520185,35.22597840485084,0.0693176200460945,0.024483972756283112
EQU,2022-08-01,31.99997560034702,34.054473710868336,0.06420311490796998,0.023366526287093237
EQU,2022-09-01,31.057467373173854,32.963293190518634,0.06136449551552788,0.02308787328980344
